,0,1,2,3,4,5,6
1,0.0,0.001,0.008,29.549999999999997,47.069,17.652,5.72
2,0.0,0.002,0.006,29.497,46.724,17.97,5.801
3,0.002,0.002,0.006,29.148000000000003,47.027,17.842,5.973
4,0.0,0.004,0.01,29.451,46.894000000000005,17.832,5.809
5,0.002,0.002,0.006999999999999999,29.538999999999998,46.748,17.743000000000002,5.959
6,0.001,0.003,0.008,29.618,46.737,17.909,5.724
7,0.0,0.0,0.006999999999999999,29.497,47.19,17.61,5.696
8,0.001,0.002,0.005,29.384,47.168,17.575,5.865
9,0.002,0.002,0.008,29.389,46.826,17.841,5.9319999999999995
10,0.002,0.003,0.005,29.462,46.824,17.896,5.808
mean,0.001,0.0021000000000000003,0.007000000000000001,29.4535,46.920700000000004,17.787,5.8287
std,0.0008944271909999159,0.001044030650891055,0.0014832396974191326,0.12241997386047616,0.1697840098478066,0.12831757479004954,0.09579149231534075
dispersion,8e-07,1.09e-06,2.2e-06,0.014986649999999666,0.028826610000000086,0.016465399999999956,0.009176009999999986
