,0,1,2,3,4,5,6
1,0.002,0.001,0.012,27.489,49.866,17.454,5.176
2,0.001,0.009000000000000001,0.009000000000000001,27.426000000000002,50.224999999999994,17.227,5.103
3,0.003,0.001,0.008,27.778000000000002,49.796,17.383000000000003,5.031
4,0.0,0.004,0.008,27.423,49.85,17.622,5.093
5,0.002,0.004,0.004,27.789,49.69,17.443,5.0680000000000005
6,0.001,0.002,0.005,27.650000000000002,49.739,17.629,4.974
7,0.0,0.003,0.005,27.755000000000003,49.719,17.548,4.97
8,0.0,0.002,0.005,27.488,50.021,17.523,4.961
9,0.001,0.001,0.005,27.891,49.666,17.344,5.092
10,0.001,0.002,0.006,27.603,49.976,17.385,5.027
mean,0.0011000000000000003,0.0029000000000000007,0.0067,27.629200000000004,49.8548,17.4558,5.0495
std,0.0009433981132056605,0.0023,0.0023685438564654024,0.16017602816901186,0.16661980674577623,0.12081622407607308,0.066035217876524
dispersion,8.900000000000002e-07,5.29e-06,5.6100000000000005e-06,0.02565636000000008,0.02776215999999982,0.0145965599999999,0.004360649999999995
